"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2024","5,276.91","5,249.25","5,285.93","5,238.62","16.03M","0.70%"
"06/27/2024","5,240.00","5,240.81","5,278.35","5,240.00","23.99M","-0.03%"
"06/26/2024","5,241.46","5,244.22","5,261.06","5,222.92","20.69M","0.12%"
"06/25/2024","5,235.13","5,287.91","5,297.02","5,234.84","25.51M","-1.17%"
"06/24/2024","5,297.16","5,304.66","5,313.91","5,267.24","52.30M","-0.30%"
"06/23/2024","5,313.09","5,311.97","5,332.24","5,294.61","18.18M","1.42%"
"06/13/2024","5,238.61","5,339.73","5,339.76","5,238.61","50.31M","-2.04%"
"06/12/2024","5,347.96","5,350.00","5,359.08","5,330.02","123.77M","0.31%"
"06/11/2024","5,331.68","5,369.21","5,388.96","5,331.68","122.62M","-0.53%"
"06/10/2024","5,360.09","5,430.84","5,442.04","5,349.75","87.03M","-0.80%"
"06/09/2024","5,403.53","5,280.33","5,486.35","5,270.95","1.74B","1.11%"
"06/06/2024","5,344.18","5,346.76","5,410.48","5,334.57","21.30M","0.31%"
"06/05/2024","5,327.62","5,365.06","5,365.06","5,306.76","28.50M","-0.03%"
"06/04/2024","5,329.40","5,459.13","5,468.37","5,329.40","23.89M","-2.37%"
"06/03/2024","5,458.98","5,402.65","5,478.00","5,384.08","25.57M","1.56%"
"06/02/2024","5,375.27","5,453.46","5,463.12","5,318.03","17.92M","-1.78%"
"05/30/2024","5,472.49","5,491.98","5,509.53","5,471.77","27.90M","-0.17%"
"05/29/2024","5,481.70","5,525.00","5,542.76","5,478.13","14.86M","-0.62%"
"05/28/2024","5,515.76","5,572.68","5,581.98","5,515.76","15.54M","-0.86%"
"05/27/2024","5,563.51","5,563.09","5,599.18","5,553.23","15.43M","0.18%"
"05/26/2024","5,553.73","5,646.33","5,647.13","5,517.11","18.69M","-1.63%"
"05/23/2024","5,645.70","5,655.07","5,665.14","5,645.24","17.50M","-0.34%"
"05/22/2024","5,664.87","5,645.75","5,665.27","5,636.60","21.54M","0.34%"
"05/21/2024","5,645.67","5,638.18","5,646.73","5,627.55","11.79M","0.13%"
"05/20/2024","5,638.21","5,629.18","5,657.17","5,610.58","17.27M","0.00%"
"05/19/2024","5,638.14","5,609.01","5,638.83","5,589.86","11.07M","0.53%"
"05/16/2024","5,608.53","5,544.97","5,617.74","5,527.37","18.49M","1.49%"
"05/15/2024","5,525.96","5,573.03","5,573.40","5,507.85","17.03M","-1.65%"
"05/14/2024","5,618.72","5,659.67","5,669.27","5,618.72","27.69M","-0.56%"
"05/13/2024","5,650.10","5,660.41","5,669.93","5,649.48","23.85M","-0.02%"
"05/12/2024","5,651.24","5,664.12","5,664.20","5,642.02","13.18M","0.26%"
"05/09/2024","5,636.68","5,658.14","5,667.51","5,636.36","21.41M","-0.38%"
"05/08/2024","5,657.94","5,668.01","5,677.37","5,647.41","23.83M","-0.02%"
"05/07/2024","5,659.33","5,670.78","5,716.47","5,640.76","29.61M","-0.04%"
"05/06/2024","5,661.54","5,672.13","5,673.66","5,651.82","13.52M","-0.19%"
"05/05/2024","5,672.60","5,671.25","5,680.94","5,653.27","12.14M","0.19%"
"05/02/2024","5,661.88","5,679.80","5,688.75","5,651.22","13.68M","-0.31%"
"05/01/2024","5,679.67","5,689.13","5,689.26","5,660.41","13.19M","-0.17%"
"04/30/2024","5,689.19","5,686.12","5,695.92","5,668.45","14.12M","0.05%"
"04/29/2024","5,686.25","5,694.79","5,714.70","5,675.37","21.29M","-0.16%"
"04/28/2024","5,695.18","5,687.40","5,714.74","5,687.40","12.67M","0.14%"
"04/25/2024","5,687.17","5,678.55","5,705.91","5,668.34","13.40M","0.00%"
"04/24/2024","5,687.43","5,689.70","5,706.16","5,668.72","15.77M","-0.04%"
"04/23/2024","5,689.82","5,708.68","5,727.70","5,671.55","12.91M","-0.17%"
"04/22/2024","5,699.79","5,692.98","5,728.16","5,673.79","20.10M","0.29%"
"04/21/2024","5,683.22","5,672.06","5,711.96","5,655.34","17.25M","0.52%"
"04/18/2024","5,653.65","5,672.38","5,681.58","5,645.34","16.70M","-0.17%"
"04/17/2024","5,663.55","5,681.80","5,700.43","5,653.31","22.27M","0.16%"
"04/16/2024","5,654.51","5,748.62","5,757.79","5,636.42","34.97M","-1.32%"
"04/15/2024","5,729.99","5,790.08","5,819.54","5,729.99","23.85M","-0.88%"
"04/14/2024","5,780.71","5,740.55","5,808.47","5,722.81","27.30M","0.97%"
"04/04/2024","5,725.26","5,782.65","5,791.28","5,706.28","41.67M","-0.51%"
"04/03/2024","5,754.57","5,799.01","5,799.60","5,725.85","33.70M","-0.45%"
"04/02/2024","5,780.52","5,805.64","5,815.60","5,759.62","25.86M","-0.43%"
"04/01/2024","5,805.71","5,824.83","5,862.18","5,796.25","13.12M","-0.33%"
"03/31/2024","5,825.05","5,818.15","5,844.53","5,806.86","12.34M","0.27%"
"03/28/2024","5,809.30","5,850.63","5,851.29","5,804.97","43.40M","-0.23%"
"03/27/2024","5,822.46","5,837.08","5,857.94","5,821.51","16.07M","-0.09%"
"03/26/2024","5,827.48","5,842.03","5,867.87","5,818.24","20.15M","-0.10%"
"03/25/2024","5,833.53","5,898.35","5,900.17","5,833.35","21.71M","-1.12%"
"03/24/2024","5,899.32","5,910.46","5,918.18","5,873.02","13.52M","-0.04%"
"03/21/2024","5,901.42","5,911.77","5,922.04","5,892.41","17.39M","-0.04%"
"03/20/2024","5,903.72","5,938.45","5,950.32","5,903.24","19.21M","-0.60%"
"03/19/2024","5,939.11","5,889.33","5,940.60","5,879.73","19.31M","0.85%"
"03/18/2024","5,889.22","5,911.91","5,912.04","5,870.94","17.26M","-0.21%"
"03/17/2024","5,901.69","5,923.69","5,932.94","5,890.03","17.04M","-0.22%"
"03/14/2024","5,914.61","5,996.18","6,005.08","5,905.27","33.95M","-2.38%"
